"CCLE_ID" "model_id" "model_name" "synonyms" "model_type" "growth_properties" "doi" "pmed" "model_treatment" "model_comments" "msi_status" "mutational_burden" "ploidy" "parent_id" "crispr_ko_data" "sample_id" "tissue" "tissue_status" "cancer_type" "cancer_type_detail" "cancer_type_ncit_id" "age_at_sampling" "sampling_day" "sampling_month" "sampling_year" "sample_treatment" "sample_treatment_details" "sample_site" "tnm_t" "tnm_n" "tnm_m" "tnm_integrated" "tumour_grade" "patient_id" "species" "gender" "ethnicity" "smoking_status" "model_relations_comment" "COSMIC_ID" "BROAD_ID" "RRID" "HCMI" "suppliers" "supplier" "cat_number"
"GB1_CENTRAL_NERVOUS_SYSTEM" "SIDM00581" "GB-1" "" "Cell Line" "Unknown" "" NA "" "" "MSS" 44.87 2.943747223 "" "True" "SIDS00958" "Central Nervous System" "Tumour" "Glioblastoma" "Glioblastoma" "C3058" 35 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00858" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "687568" "ACH-000738" "CVCL_1227" NA "JCRB:IFO50489" "JCRB" "IFO50489"
"GCIY_STOMACH" "SIDM00274" "GCIY" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 33.34 2.653525376 "" "True" "SIDS00665" "Stomach" "Tumour" "Gastric Carcinoma" "Gastric Adenocarcinoma" "C4004" NA NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00593" "Homo Sapiens" "Female" "East Asian" "Unknown" "" "906869" "ACH-000047" "CVCL_1228" NA "RIKEN:RCB0555" "RIKEN" "RCB0555"
"GCT_SOFT_TISSUE" "SIDM00853" "GCT" "Giant cell tumor" "Cell Line" "Adherent" "" NA "" "" "MSS" 82.58 2.892514952 "" "True" "SIDS00126" "Soft Tissue" "Metastasis" "Other Sarcomas" "Undifferentiated Pleomorphic Sarcoma" "C4247" 29 NA NA NA "Unknown" "" "Lung" NA NA NA NA NA "SIDP00102" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "906999" "ACH-000835" "CVCL_1229" NA "ATCC:TIB-223" "ATCC" "TIB-223"
"GDM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE" "SIDM01057" "GDM-1" "" "Cell Line" "Suspension" "" NA "" "" "MSS" 30.92 2.051963356 "" "False" "SIDS00517" "Haematopoietic and Lymphoid" "Tumour" "Acute Myeloid Leukemia" "Adult Acute Myeloid Leukemia" "C9154" NA NA NA 1979 "Unknown" "" "Peripheral Blood" NA NA NA NA NA "SIDP00453" "Homo Sapiens" "Female" "Unknown" "Unknown" "" "906870" "ACH-000081" "CVCL_1230" NA "DSMZ:ACC-87" "DSMZ" "ACC-87"
"GI1_CENTRAL_NERVOUS_SYSTEM" "SIDM00273" "GI-1" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 44.11 4.348025477 "" "True" "SIDS00666" "Central Nervous System" "Tumour" "Glioblastoma" "Gliosarcoma" "C3796" 61 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00594" "Homo Sapiens" "Male" "East Asian" "Unknown" "" "906871" "ACH-000756" "CVCL_1231" NA "RIKEN:RCB0763" "RIKEN" "RCB0763"
"GMS10_CENTRAL_NERVOUS_SYSTEM" "SIDM01074" "GMS-10" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 27.39 3.021421016 "" "False" "SIDS00518" "Central Nervous System" "Tumour" "Glioblastoma" "Glioblastoma" "C3058" 49 NA NA 1995 "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00454" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "906873" "ACH-000102" "CVCL_1233" NA "DSMZ:ACC-405" "DSMZ" "ACC-405"
"GOS3_CENTRAL_NERVOUS_SYSTEM" "SIDM01635" "GOS-3" "" "Cell Line" "Adherent" "" NA "Unknown" "" "" 19.47 NA "SIDM01495" "False" "SIDS01310" "Central Nervous System" "Unknown" "Glioblastoma" "Glioblastoma" "C3058" 64 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01195" "Homo Sapiens" "Male" "White" "Unknown" "U-343-MG and U-343-MGa were both derived from the same patient biopsy (PMID: 3497714). GOS-3 is a derivative of the human glioblastoma cell line U-343-MG. (DSMZ)." "" "ACH-000027" "CVCL_2050" NA "DSMZ:ACC 408" "DSMZ" "ACC 408"
"GP2D_LARGE_INTESTINE" "SIDM00536" "GP2d" "" "Cell Line" "Adherent" "" NA "" "" "" NA NA "" "False" "SIDS00905" "Large Intestine" "Tumour" "Colorectal Carcinoma" "Colon Adenocarcinoma" "C4349" 71 NA NA NA "None" "" "Colon" NA NA NA NA NA "SIDP00808" "Homo Sapiens" "Female" "White" "Unknown" "GP5d has been established from the same adenocarcinoma as GP2d (ECACC). " "907292" "ACH-000982" "CVCL_2450" NA "ECACC:95090714" "ECACC" "95090714"
"GRANTA519_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE" "SIDM01058" "GRANTA-519" "G519" "Cell Line" "Suspension" "" NA "" "" "MSS" 19.45 1.890870719 "" "False" "SIDS00519" "Haematopoietic and Lymphoid" "Tumour" "B-Cell Non-Hodgkin's Lymphoma" "Mantle Cell Lymphoma" "C4337" 58 NA NA 1991 "Unknown" "" "Peripheral Blood" NA NA NA NA NA "SIDP00455" "Homo Sapiens" "Female" "White" "Unknown" "" "1303897" "ACH-000073" "CVCL_1818" NA "DSMZ:ACC-342" "DSMZ" "ACC-342"
"GSS_STOMACH" "SIDM01511" "GSS" "" "Cell Line" "Suspension" "" NA "Unknown" "" "" 32.63 NA "" "True" "SIDS01311" "Stomach" "Metastasis" "Gastric Carcinoma" "Gastric Carcinoma" "C4911" 75 NA NA NA "Unknown" "" "Liver" NA NA NA NA NA "SIDP01196" "Homo Sapiens" "Male" "East Asian" "Unknown" "NaN" "" "ACH-000746" "CVCL_8876" NA "RIKEN:RCB2277" "RIKEN" "RCB2277"
"GSU_STOMACH" "SIDM01551" "GSU" "" "Cell Line" "Adherent" "" NA "Unknown" "" "" 26.16 NA "" "True" "SIDS01312" "Stomach" "Metastasis" "Gastric Carcinoma" "Gastric Carcinoma" "C4911" 37 NA NA 1994 "Unknown" "" "Ascites" NA NA NA NA NA "SIDP01197" "Homo Sapiens" "Male" "East Asian" "Unknown" "NaN" "" "ACH-000485" "CVCL_8877" NA "RIKEN:RCB2278" "RIKEN" "RCB2278"
"H4_CENTRAL_NERVOUS_SYSTEM" "SIDM00852" "H4" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 30.39 3.066261451 "" "True" "SIDS00127" "Central Nervous System" "Tumour" "Glioma" "Astrocytoma" "C60781" 37 NA NA NA "Unknown" "" "Brain" NA NA NA NA NA "SIDP00103" "Homo Sapiens" "Male" "White" "Unknown" "" "907042" "ACH-000389" "CVCL_1239" NA "ATCC:HTB-148" "ATCC" "HTB-148"
"HARA_LUNG" "SIDM00598" "HARA" "KCC-C1" "Cell Line" "Unknown" "" NA "" "" "MSS" 92.95 2.776076334 "" "True" "SIDS00960" "Lung" "Tumour" "Squamous Cell Lung Carcinoma" "Squamous Cell Lung Carcinoma" "C3493" 57 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00860" "Homo Sapiens" "Male" "East Asian" "Unknown" "" "1240142" "ACH-000843" "CVCL_2914" NA "JCRB:JCRB1080.0" "JCRB" "JCRB1080.0"
"HCC1143_BREAST" "SIDM00866" "HCC1143" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 25.29 3.362044201 "" "True" "SIDS00129" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 52 30 8 1994 "Unknown" "" "Mammary gland/duct" NA NA NA NA NA "SIDP00105" "Homo Sapiens" "Female" "White" "Unknown" "HCC1143-BL is a B-lymphoblastoid cell line initiated using peripheral blood lymphocytes obtained from the same patient as HCC1143 (ATCC)." "749710" "ACH-000374" "CVCL_1245" NA "ATCC:CRL-2321" "ATCC" "CRL-2321"
"HCC1171_LUNG" "SIDM01553" "HCC1171" "" "Cell Line" "Adherent" "" NA "Unknown" "" "" NA NA "" "False" "SIDS01314" "Lung" "Unknown" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" 58 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01199" "Homo Sapiens" "Male" "Unknown" "Unknown" "NaN" "" "ACH-000578" "CVCL_5126" NA "KCLB:71171" "KCLB" "71171"
"HCC1187_BREAST" "SIDM00885" "HCC1187" "" "Cell Line" "Semi-Adherent" "" NA "" "" "MSS" 33.79 2.644131348 "" "True" "SIDS00131" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 41 NA NA NA "Unknown" "" "Mammary gland" NA NA NA NA NA "SIDP00106" "Homo Sapiens" "Female" "White" "Unknown" "HCC1187-BL is a B-lymphoblastoid cell line initiated by Epstein Barr virus (EBV) transformation of peripheral blood lymphocytes obtained from the same patient as HCC1187 (ATCC)." "749711" "ACH-000111" "CVCL_1247" NA "ATCC:CRL-2322" "ATCC" "CRL-2322"
"HCC1195_LUNG" "SIDM01607" "HCC1195" "" "Cell Line" "Adherent" "" NA "Unknown" "" "" NA NA "" "False" "SIDS01315" "Lung" "Unknown" "Other Solid Cancers" "Adenosquamous Lung Carcinoma" "C9133" 47 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01200" "Homo Sapiens" "Male" "Unknown" "Unknown" "NaN" "" "ACH-000868" "CVCL_5127" NA "KCLB:71195" "KCLB" "71195"
"HCC1359_LUNG" "SIDM01606" "HCC1359" "" "Cell Line" "Adherent" "" NA "Unknown" "" "" NA NA "" "True" "SIDS01316" "Lung" "Unknown" "Non-Small Cell Lung Carcinoma" "Giant Cell Lung Carcinoma" "C4452" 55 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01201" "Homo Sapiens" "Female" "Unknown" "Unknown" "NaN" "" "ACH-000901" "CVCL_5128" NA "KCLB:71359" "KCLB" "71359"
"HCC1395_BREAST" "SIDM00884" "HCC1395" "SCC-1395" "Cell Line" "Adherent" "" NA "" "" "MSS" 44.47 2.691600409 "" "True" "SIDS00133" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 43 14 12 1994 "Unknown" "" "Mammary gland/duct" NA NA NA NA NA "SIDP00107" "Homo Sapiens" "Female" "White" "Unknown" "HCC1395-BL is a B-lymphoblastoid cell line initiated by Epstein Barr virus (EBV) transformation of peripheral blood lymphocytes obtained from the same patient as the breast carcinoma cell line HCC1395 (ATCC)." "749712" "ACH-000699" "CVCL_1249" NA "ATCC:CRL-2324" "ATCC" "CRL-2324"
"HCC1419_BREAST" "SIDM00882" "HCC1419" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 29.58 3.555410413 "" "True" "SIDS00135" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 42 28 12 1994 "Chemotherapy" "" "Mammary gland" NA NA NA NA NA "SIDP00108" "Homo Sapiens" "Female" "Other" "Unknown" "" "907045" "ACH-000277" "CVCL_1251" NA "ATCC:CRL-2326" "ATCC" "CRL-2326"
"HCC1428_BREAST" "SIDM00881" "HCC1428" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 50.97 3.515258168 "" "True" "SIDS00136" "Breast" "Metastasis" "Breast Carcinoma" "Breast Adenocarcinoma" "C5214" 49 4 11 1995 "Unknown" "" "Pleural effusion" NA NA NA NA NA "SIDP00109" "Homo Sapiens" "Female" "White" "Unknown" "HCC1428-BL is a B-lymphoblastoid cell line initiated by Epstein Barr virus (EBV) transformation of peripheral blood lymphocytes obtained from the same patient as the breast carcinoma cell line HCC1428 (ATCC)." "1290905" "ACH-000352" "CVCL_1252" NA "ATCC:CRL-2327" "ATCC" "CRL-2327"
"HCC1438_LUNG" "SIDM01605" "HCC1438" "" "Cell Line" "Adherent" "" NA "Unknown" "" "" 66.29 NA "" "False" "SIDS01317" "Lung" "Unknown" "Non-Small Cell Lung Carcinoma" "Large Cell Lung Carcinoma" "C4450" 43 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01202" "Homo Sapiens" "Male" "Unknown" "Unknown" "NaN" "" "ACH-000891" "CVCL_L088" NA "KCLB:71438" "KCLB" "71438"
"HCC1500_BREAST" "SIDM00879" "HCC1500" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 45.5 1.660725635 "" "False" "SIDS00138" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 32 8 2 1995 "Unknown" "" "Mammary gland/duct" NA NA NA NA NA "SIDP00110" "Homo Sapiens" "Female" "Black" "Unknown" "" "1303900" "ACH-000349" "CVCL_1254" NA "ATCC:CRL-2329" "ATCC" "CRL-2329"
"HCC1569_BREAST" "SIDM00878" "HCC1569" "" "Cell Line" "Semi-Adherent" "" NA "" "" "MSI" 144.87 2.948469725 "" "False" "SIDS00139" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 70 NA NA NA "Unknown" "" "Mammary gland" NA NA NA NA NA "SIDP00111" "Homo Sapiens" "Female" "Black" "Unknown" "" "907046" "ACH-000930" "CVCL_1255" NA "ATCC:CRL-2330" "ATCC" "CRL-2330"
"HCC1588_LUNG" "SIDM01820" "HCC1588" "" "Cell Line" "Adherent" "10.1158/0008-5472.CAN-07-5084" 10353731 "Unknown" "" "" NA NA "" "False" "SIDS01750" "Lung" "Tumour" "Squamous Cell Lung Carcinoma" "Squamous Cell Lung Carcinoma" "C3493" 63 NA NA NA "Unknown" "" "Lung" NA NA NA NA NA "SIDP01656" "Homo Sapiens" "Female" "Black" "Unknown" "NaN" "" "ACH-001078" "" NA "KCLB:71588" "KCLB" "71588"
"HCC1599_BREAST" "SIDM00877" "HCC1599" "" "Cell Line" "Suspension" "" NA "" "" "MSS" 35.03 2.995078528 "" "False" "SIDS00140" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 44 28 3 1998 "Unknown" "" "Mammary gland/duct" NA NA NA NA NA "SIDP00112" "Homo Sapiens" "Female" "White" "Unknown" "HCC1599-BL is a B-lymphoblastoid cell line initiated by Epstein Barr virus (EBV) transformation of peripheral blood lymphocytes obtained from the same patient as HCC1599 (ATCC)." "749713" "ACH-000196" "CVCL_1256" NA "ATCC:CRL-2331" "ATCC" "CRL-2331"
"HCC15_LUNG" "SIDM01072" "HCC-15" "HCC0015" "Cell Line" "Adherent" "" NA "" "" "MSS" 86.95 1.659190536 "" "True" "SIDS00521" "Lung" "Tumour" "Squamous Cell Lung Carcinoma" "Squamous Cell Lung Carcinoma" "C3493" 47 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00457" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "1240143" "ACH-000878" "CVCL_2057" NA "DSMZ:ACC-496" "DSMZ" "ACC-496"
"HCC1806_BREAST" "SIDM00875" "HCC1806" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 45.84 2.215331984 "" "True" "SIDS00142" "Breast" "Tumour" "Breast Carcinoma" "Squamous Cell Breast Carcinoma Acantholytic Variant" "C40359" 60 31 7 1991 "Unknown" "" "Mammary gland" NA NA NA NA NA "SIDP00113" "Homo Sapiens" "Female" "Black" "Unknown" "" "907047" "ACH-000624" "CVCL_1258" NA "ATCC:CRL-2335" "ATCC" "CRL-2335"
"HCC1833_LUNG" "SIDM01604" "HCC1833" "" "Cell Line" "Adherent" "" NA "Unknown" "" "" NA NA "" "False" "SIDS01318" "Lung" "Unknown" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" NA NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01203" "Homo Sapiens" "Unknown" "Unknown" "Unknown" "NaN" "" "ACH-000712" "CVCL_5129" NA "KCLB:71833" "KCLB" "71833"
"HCC1937_BREAST" "SIDM00874" "HCC1937" "" "Cell Line" "Semi-Adherent" "" NA "" "" "MSS" 36.13 4.238473033 "" "True" "SIDS00143" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 23 13 10 1995 "Unknown" "" "Mammary gland/duct" NA NA NA NA NA "SIDP00114" "Homo Sapiens" "Female" "White" "Unknown" "HCC1937-BL is a B-lymphoblastoid cell line initiated by Epstein Barr virus (EBV) transformation of peripheral blood lymphocytes obtained from the same patient as HCC1937 (ATCC)." "749714" "ACH-000223" "CVCL_0290" NA "ATCC:CRL-2336" "ATCC" "CRL-2336"
"HCC1954_BREAST" "SIDM00872" "HCC1954" "" "Cell Line" "Adherent" "" NA "" "" "MSS" 48.16 4.203984771 "" "True" "SIDS00145" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 61 30 10 1995 "Unknown" "" "Mammary gland/duct" NA NA NA NA NA "SIDP00115" "Homo Sapiens" "Female" "South Asian" "Unknown" "HCC1954-BL is a B-lymphoblastoid cell line initiated from peripheral blood lymphocytes obtained from the same patient as HCC1954 (ATCC)." "749709" "ACH-000859" "CVCL_1259" NA "ATCC:CRL-2338" "ATCC" "CRL-2338"
"HCC202_BREAST" "SIDM00870" "HCC202" "HCC0202" "Cell Line" "Semi-Adherent" "" NA "" "" "MSS" 52.68 2.918566224 "" "True" "SIDS00147" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 82 5 9 1992 "Unknown" "" "Mammary gland/duct" NA NA NA NA NA "SIDP00116" "Homo Sapiens" "Female" "White" "Unknown" "" "1290906" "ACH-000725" "CVCL_2062" NA "ATCC:CRL-2316" "ATCC" "CRL-2316"
"HCC2108_LUNG" "SIDM01603" "HCC2108" "" "Cell Line" "Adherent" "" NA "Unknown" "" "" NA NA "" "False" "SIDS01319" "Lung" "Unknown" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" 59 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01204" "Homo Sapiens" "Male" "Unknown" "Unknown" "NaN" "" "ACH-000314" "CVCL_A352" NA "KCLB:72108" "KCLB" "72108"
"HCC2157_BREAST" "SIDM00774" "HCC2157" "" "Cell Line" "Suspension" "" NA "" "" "MSS" 56.29 2.689760153 "" "False" "SIDS00148" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 48 NA NA 1996 "Unknown" "" "Mammary gland" NA NA NA NA NA "SIDP00117" "Homo Sapiens" "Female" "Black" "Unknown" "HCC2157-BL is a B-lymphoblastoid cell line initiated by Epstein Barr virus (EBV) transformation of peripheral blood lymphocytes obtained from the same patient as HCC2157 (ATCC)." "749715" "ACH-000691" "CVCL_1261" NA "ATCC:CRL-2340" "ATCC" "CRL-2340"
"HCC2218_BREAST" "SIDM00772" "HCC2218" "" "Cell Line" "Suspension" "" NA "" "" "MSS" 49.5 3.925428789 "" "False" "SIDS00150" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 38 NA NA 1996 "Unknown" "" "Mammary gland/duct" NA NA NA NA NA "SIDP00118" "Homo Sapiens" "Female" "White" "Unknown" "HCC2218-BL is a B-lymphoblastoid cell line initiated by Epstein Barr virus (EBV) transformation of peripheral blood lymphocytes obtained from the same patient as HCC2218 (ATCC)." "749716" "ACH-000755" "CVCL_1263" NA "ATCC:CRL-2343" "ATCC" "CRL-2343"
"HCC2279_LUNG" "SIDM01602" "HCC2279" "" "Cell Line" "Adherent" "" NA "Unknown" "" "" NA NA "" "False" "SIDS01320" "Lung" "Unknown" "Other Solid Cancers" "Adenosquamous Lung Carcinoma" "C9133" 52 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01205" "Homo Sapiens" "Female" "Unknown" "Unknown" "NaN" "" "ACH-000731" "CVCL_5131" NA "KCLB:72279" "KCLB" "72279"
"HCC2429_LUNG" "SIDM01601" "HCC2429" "" "Cell Line" "Unknown" "10.1136/jmg.2004.029686" NA "Unknown" "" "" NA NA "" "True" "SIDS01321" "Lung" "Unknown" "Non-Small Cell Lung Carcinoma" "Non-Small Cell Lung Carcinoma" "C2926" 34 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01206" "Homo Sapiens" "Female" "Unknown" "Unknown" "NaN" "" "ACH-000143" "CVCL_5132" NA "" "" ""
"HCC2450_LUNG" "SIDM01600" "HCC-2450" "" "Cell Line" "Unknown" "10.1186/1756-9966-29-75" NA "Unknown" "" "" NA NA "" "True" "SIDS01322" "Lung" "Tumour" "Squamous Cell Lung Carcinoma" "Squamous Cell Lung Carcinoma" "C3493" 52 NA NA NA "Unknown" "" "Lung" NA NA NA NA NA "SIDP01207" "Homo Sapiens" "Male" "White" "Unknown" "NaN" "" "ACH-000975" "CVCL_5133" NA "" "" ""
"HCC2814_LUNG" "SIDM01599" "HCC-2814" "" "Cell Line" "Unknown" "" NA "Unknown" "" "" NA NA "" "False" "SIDS01323" "Lung" "Unknown" "Squamous Cell Lung Carcinoma" "Squamous Cell Lung Carcinoma" "C3493" NA NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01208" "Homo Sapiens" "Unknown" "Unknown" "Unknown" "NaN" "" "ACH-000690" "CVCL_V586" NA "" "" ""
"HCC2935_LUNG" "SIDM01598" "HCC-2935" "" "Cell Line" "Adherent" "" NA "Unknown" "" "" 14.18 NA "" "True" "SIDS01324" "Lung" "Unknown" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" 39 NA NA NA "Unknown" "" "Pleural Effusion" NA NA NA NA NA "SIDP01209" "Homo Sapiens" "Male" "White" "Unknown" "NaN" "" "ACH-000150" "CVCL_1265" NA "ATCC:CRL-2869" "ATCC" "CRL-2869"
"HCC33_LUNG" "SIDM01071" "HCC-33" "HCC0033" "Cell Line" "Adherent" "" NA "" "" "MSS" 43.26 2.88843558 "" "False" "SIDS00522" "Lung" "Tumour" "Small Cell Lung Carcinoma" "Small Cell Lung Carcinoma" "C4917" 52 NA NA NA "Unknown" "" "Pleural effusion" NA NA NA NA NA "SIDP00458" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "1303901" "ACH-000515" "CVCL_2058" NA "DSMZ:ACC-487" "DSMZ" "ACC-487"
"HCC364_LUNG" "SIDM01597" "HCC-364" "" "Cell Line" "Unknown" "" NA "Unknown" "" "" NA NA "" "False" "SIDS01325" "Lung" "Unknown" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" NA NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01210" "Homo Sapiens" "Unknown" "Unknown" "Unknown" "NaN" "" "ACH-000575" "CVCL_5134" NA "" "" ""
"HCC366_LUNG" "SIDM01070" "HCC-366" "HCC0366" "Cell Line" "Adherent" "" NA "" "" "MSS" 56.53 3.445900706 "" "True" "SIDS00523" "Lung" "Tumour" "Non-Small Cell Lung Carcinoma" "Adenosquamous Lung Carcinoma" "C9133" 80 NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP00459" "Homo Sapiens" "Female" "Unknown" "Unknown" "" "1240144" "ACH-000840" "CVCL_2059" NA "DSMZ:ACC-492" "DSMZ" "ACC-492"
"HCC38_BREAST" "SIDM00675" "HCC38" "HCC0038" "Cell Line" "Semi-Adherent" "" NA "" "" "MSS" 28.08 1.822823741 "" "True" "SIDS00152" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 50 27 4 1992 "Unknown" "" "Mammary gland/duct" NA NA NA NA NA "SIDP00119" "Homo Sapiens" "Female" "White" "Unknown" "HCC38-BL is a B-lymphoblastoid cell line initiated by Epstein Barr virus (EBV) transformation of peripheral blood lymphocytes obtained from the same patient as HCC38 (ATCC)." "749717" "ACH-000276" "CVCL_1267" NA "ATCC:CRL-2314" "ATCC" "CRL-2314"
"HCC4006_LUNG" "SIDM01596" "HCC4006" "" "Cell Line" "Adherent" "" NA "Unknown" "" "" 14.08 NA "" "False" "SIDS01326" "Lung" "Metastasis" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" NA NA NA NA "Unknown" "" "Pleural Effusion" NA NA NA NA NA "SIDP01211" "Homo Sapiens" "Male" "White" "Unknown" "NaN" "" "ACH-000066" "CVCL_1269" NA "ATCC:CRL-2871" "ATCC" "CRL-2871"
"HCC44_LUNG" "SIDM01069" "HCC-44" "HCC0044" "Cell Line" "Adherent" "" NA "" "" "MSS" 47.55 3.017297527 "" "True" "SIDS00524" "Lung" "Tumour" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" 54 NA NA NA "Unknown" "" "Lung" NA NA NA NA NA "SIDP00460" "Homo Sapiens" "Female" "Unknown" "Unknown" "" "1240145" "ACH-000667" "CVCL_2060" NA "DSMZ:ACC-534" "DSMZ" "ACC-534"
"HCC461_LUNG" "SIDM01595" "HCC461" "" "Cell Line" "Unknown" "" NA "Unknown" "" "" NA NA "" "True" "SIDS01327" "Lung" "Unknown" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" NA NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01212" "Homo Sapiens" "Unknown" "Unknown" "Unknown" "NaN" "" "ACH-000339" "CVCL_5135" NA "" "" ""
"HCC515_LUNG" "SIDM01610" "HCC515" "" "Cell Line" "Unknown" "" NA "Unknown" "" "" NA NA "" "True" "SIDS01328" "Lung" "Unknown" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" NA NA NA NA "Unknown" "" "Unknown" NA NA NA NA NA "SIDP01213" "Homo Sapiens" "Unknown" "Unknown" "Unknown" "NaN" "" "ACH-000872" "CVCL_5136" NA "" "" ""
"HCC56_LARGE_INTESTINE" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
"HCC70_BREAST" "SIDM00673" "HCC70" "HCC0070" "Cell Line" "Adherent" "" NA "" "" "MSS" 31.58 4.24338942 "" "True" "SIDS00154" "Breast" "Tumour" "Breast Carcinoma" "Ductal Breast Carcinoma" "C4017" 49 3 6 1992 "Unknown" "" "Mammary gland/duct" NA NA NA NA NA "SIDP00120" "Homo Sapiens" "Female" "Black" "Unknown" "" "907048" "ACH-000668" "CVCL_1270" NA "ATCC:CRL-2315" "ATCC" "CRL-2315"
"HCC78_LUNG" "SIDM01068" "HCC-78" "HCC0078" "Cell Line" "Adherent" "" NA "" "" "MSS" 29.08 3.94242339 "" "True" "SIDS00525" "Lung" "Metastasis" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" 65 NA NA NA "Unknown" "" "Pleural effusion" NA NA NA NA NA "SIDP00461" "Homo Sapiens" "Male" "Unknown" "Unknown" "" "1290908" "ACH-000562" "CVCL_2061" NA "DSMZ:ACC-563" "DSMZ" "ACC-563"
"HCC827GR5_LUNG" "SIDM01636" "HCC827-GR5" "" "Cell Line" "Unknown" "10.1126/science.1141478" NA "Unknown" "" "" NA NA "SIDM01067" "True" "SIDS00526" "Lung" "Tumour" "Non-Small Cell Lung Carcinoma" "Lung Adenocarcinoma" "C3512" 39 NA NA NA "Unknown" "" "Lung" NA NA NA NA NA "SIDP00462" "Homo Sapiens" "Female" "Unknown" "Unknown" "HCC-827-GR5 is a Gefitinib resistant clone of HCC-827. (10.1126/science.1141478)." "" "ACH-000029" "CVCL_V622" NA "" "" ""
